,t,p,v,q,pwm,fa,hover_throttle,T_sp
41,1758984371.4403086,"[0.0001599901507366418, 2.1774120560874847e-16, 0.911632421118377]","[3.1903953540683134e-15, 4.3664382660765266e-16, -2.0684433816341068e-15]","[1.0, 1.8628095830405835e-17, 2.192004600705415e-16, -1.3125132223220825e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.6114783543471026e-15, 3.064874086082316e-16, -52.11898076898158]",0.5,[28.014357968981578]
42,1758984371.4454076,"[0.00015999015073665785, 2.199151865657341e-16, 0.911632421118377]","[3.2107624184082926e-15, 4.347961913971252e-16, -2.0684433816341068e-15]","[1.0, 1.995622699025988e-17, 2.146941307307528e-16, -1.303463900138765e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.6572303873754845e-15, 3.2719993137317677e-16, -52.11898076898158]",0.5,[28.014357968981578]
43,1758984371.450527,"[0.000159990150736674, 2.220796574319318e-16, 0.911632421118377]","[3.231184458528761e-15, 4.328941732395495e-16, -2.0684433816341068e-15]","[1.0, 2.1291966373956898e-17, 2.1014908503178048e-16, -1.2944145779546554e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.6007949838732767e-15, 3.5922906133041125e-16, -52.11898076898158]",0.5,[28.014357968981578]
44,1758984371.4556565,"[0.00015999015073669027, 2.242340625091461e-16, 0.911632421118377]","[3.2513771364227336e-15, 4.308810154428587e-16, -2.0684433816341068e-15]","[1.0, 2.263317556260632e-17, 2.0557922671303714e-16, -1.2853652557697931e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.518919401923937e-15, 3.8854756230534326e-16, -52.11898076898158]",0.5,[28.014357968981578]
45,1758984371.4607954,"[0.0001599901507367066, 2.263775719078189e-16, 0.911632421118377]","[3.270548160521404e-15, 4.287018797345624e-16, -2.0684433816341068e-15]","[1.0, 2.3983551283637145e-17, 2.0089849698917654e-16, -1.2763159335842153e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.5470361408951338e-15, 4.0724387760978693e-16, -52.11898076898158]",0.5,[28.014357968981578]
46,1758984371.4658954,"[0.00015999015073672306, 2.28509624721239e-16, 0.911632421118377]","[3.2897194928456874e-15, 4.2641056268401626e-16, -2.0684433816341068e-15]","[1.0, 2.5340911907319198e-17, 1.961886214506404e-16, -1.2672666113979575e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.4473817714591189e-15, 4.2456550621950376e-16, -52.11898076898158]",0.5,[28.014357968981578]
47,1758984371.471026,"[0.0001599901507367396, 2.306300100144513e-16, 0.911632421118377]","[3.3086335665902864e-15, 4.2407705864246447e-16, -2.0684433816341068e-15]","[1.0, 2.6695484773567536e-17, 1.914631193183287e-16, -1.2582172892110534e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.3517439416240597e-15, 4.575113286523001e-16, -52.11898076898158]",0.5,[28.014357968981578]
48,1758984371.4761379,"[0.00015999015073675624, 2.327378151779582e-16, 0.911632421118377]","[3.3270984255924845e-15, 4.215610327013795e-16, -2.0684433816341068e-15]","[1.0, 2.8052608820647597e-17, 1.867173543827591e-16, -1.2491679670235346e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.2598384110869019e-15, 4.734917642713241e-16, -52.11898076898158]",0.5,[28.014357968981578]
49,1758984371.481251,"[0.00015999015073677296, 2.348325594812988e-16, 0.911632421118377]","[3.345020627455322e-15, 4.189488606681169e-16, -2.0684433816341068e-15]","[1.0, 2.9408311884404395e-17, 1.819402294746728e-16, -1.240118644835432e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.1973064011063155e-15, 4.943345275398032e-16, -52.11898076898158]",0.5,[28.014357968981578]
50,1758984371.4863644,"[0.00015999015073678977, 2.3691333238287277e-16, 0.911632421118377]","[3.3618738054065364e-15, 4.161545803147935e-16, -2.0684433816341068e-15]","[1.0, 3.0767873604481e-17, 1.7705142487389723e-16, -1.2310693226467742e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.2367226521436613e-15, 5.040655249879643e-16, -52.11898076898158]",0.5,[28.014357968981578]
